!f:$UNITGRAPHS/dxrds.f
\Title ic016.0.rds.DTd.trl 531 to 589 Binoc FY 5.00
#Preperiod 0.050, rate 0.00 +- 0.000  n = 56
Delay = 0
\xy-e
-1.2001 36.00 5 4.20
-1.0001 40.71 4 9.14
-0.8000 34.28 4 7.09
-0.6000 49.52 3 6.66
-0.4000 34.29 4 8.81
-0.2000 38.57 4 5.28
0.0000 55.71 4 0.82
0.2000 54.29 4 4.52
0.4000 53.57 4 12.03
0.6000 43.57 4 13.67
0.8000 56.43 4 7.59
1.0001 73.57 4 11.74
1.2001 52.86 4 14.21
\label i=2 te=Blank \2_
\xy-e--
0.0000 0.00 4 0.00
\yax 0 80
\xax -1.20 1.20
\label i=1 te=n=3 - 5 NOBACK wi=14.98 or=-90.00sl=1
