!f:$UNITGRAPHS/oxm.f
\Title ic017.0.rds.OXD.trl 1 to 843 Binoc FY 4.00 0
#Preperiod 0.050, rate 7.71 +- 1.000  n = 807
dx = -0.5000
\label i=2 te=dx = -0.5000 \1_
\xy-e
93.4800 34.17 9 2.57
dx = -0.3250
\label i=3 te=dx = -0.3250 \2_
\xy-e
-180.0000 0.09 332 0.03
-175.8500 0.00 7 0.00
-151.2200 0.00 4 0.00
-145.5700 0.00 4 0.00
-137.9800 0.00 4 0.00
-127.3600 0.00 4 0.00
-118.0100 0.00 4 0.00
-108.7800 0.00 68 0.00
-107.9800 0.00 7 0.00
-100.3400 0.00 4 0.00
-85.5200 0.00 4 0.00
-67.2000 0.00 4 0.00
-51.6900 0.00 2 0.00
0.4200 0.00 4 0.00
22.3600 6.25 4 4.73
42.7100 0.00 4 0.00
47.0900 0.00 16 0.00
73.4300 0.00 19 0.00
85.6900 0.00 4 0.00
86.0400 0.00 4 0.00
93.4800 21.12 85 1.58
112.8600 0.00 34 0.00
127.4200 12.31 93 1.32
180.0000 0.11 46 0.08
dx = 0.0000
\label i=4 te=dx = 0.0000 \3_
\xy-e
93.4800 35.83 27 2.40
dx = 0.3333
\label i=5 te=dx = 0.3333 \4_
\xy-e
93.4800 31.25 2 8.75
\yax 0 40
\xax -180.00 180.00
\label i=1 te=n=2 - 332 NOBACK wi=10.00 or=93.48sl=1
