!f:$UNITGRAPHS/dxrds.f
\Title ic022.0_2.rds.DTb.trl 100 to 158 Binoc
#Preperiod 0.050, rate 0.69 +- 0.000  n = 58
Delay = 0
\xy-e
-1.2001 34.86 5 2.46
-1.0001 34.29 3 5.95
-0.8000 37.14 4 6.28
-0.6000 37.14 4 4.21
-0.4000 36.43 4 6.74
-0.2000 37.14 4 1.17
0.0000 26.43 4 3.76
0.2000 10.71 4 5.13
0.4000 10.86 5 2.29
0.6000 2.14 4 1.37
0.8000 8.57 4 2.61
1.0001 6.43 4 1.37
1.2001 6.43 4 2.44
\label i=2 te=Blank \2_
\xy-e--
0.0000 3.43 5 2.29
\yax 0 40
\xax -1.20 1.20
\label i=1 te=n=3 - 5 NOBACK wi=10.00 or=-45.00sl=1
