!f:$UNITGRAPHS/dxrds.f
\Title ic025.0.rds.DT.trl 39 to 100 Binoc FY 8.00
#Preperiod 0.050, rate 0.34 +- 0.000  n = 59
Delay = 0
\xy-e
-1.2001 19.52 6 4.07
-1.0001 22.86 3 8.57
-0.8000 40.00 4 6.06
-0.6000 31.43 5 4.43
-0.4000 28.57 4 2.02
-0.2000 55.00 4 7.59
0.0000 45.00 4 3.76
0.2000 48.57 4 6.06
0.4000 28.57 4 1.65
0.6000 13.57 4 3.17
0.8000 14.29 4 1.17
1.0001 9.71 5 1.94
1.2001 6.43 4 2.14
\label i=2 te=Blank \2_
\xy-e--
0.0000 0.00 4 0.00
\yax 0 60
\xax -1.20 1.20
\label i=1 te=n=3 - 6 NOBACK wi=20.00 or=-45.00sl=1
