!f:$UNITGRAPHS/dxcylinder.f
\Title ic052.0.cylinder.ADT.trl 314 to 991 Binoc
#Preperiod 0.050, rate 14.29 +- 1.000  n = 140
Delay = 0
\xy-e
-0.0160 20.95 10 1.59
-0.0100 22.74 7 2.12
-0.0080 21.20 30 1.15
-0.0060 22.25 59 0.81
-0.0050 23.20 8 2.11
-0.0040 22.85 16 1.64
-0.0030 22.59 60 0.87
0.0000 28.03 97 0.82
0.0030 27.57 54 1.08
0.0040 28.91 13 1.10
0.0050 25.71 7 2.32
0.0060 35.69 63 1.02
0.0080 31.37 30 1.42
0.0100 31.61 6 3.83
0.0160 40.61 15 1.70
\yax 0 50
\xax -0.02 0.02
\label i=1 te=n=6 - 97 
