!f:$UNITGRAPHS/pddp.f
\Title ic061.0.nsines.PDDP.trl 1179 to 3128 Binoc
#Preperiod 0.050, rate 3.59 +- 0.000  n = 368
\Xlabel Position Disp
dp = -2.36
\label i=2 te=dp = -2.36 \1_
\xy-e
-1.0000 9.50 20 3.75
-0.8000 4.84 16 1.28
-0.6000 4.53 16 0.76
-0.4000 9.69 16 1.29
-0.2000 5.78 16 1.06
0.0000 16.72 64 1.44
0.2000 13.59 16 1.48
0.4000 5.78 16 1.11
0.6000 9.22 16 2.93
0.8000 5.78 16 1.01
1.0000 4.53 16 1.45
dp = -1.57
\label i=3 te=dp = -1.57 \2_
\xy-e
-1.0000 8.90 25 1.26
-0.8000 3.54 24 0.54
-0.6000 8.23 24 1.60
-0.4000 9.69 24 2.38
-0.2000 9.48 24 1.44
0.0000 14.27 48 1.19
0.2000 13.96 24 2.12
0.4000 4.79 24 0.72
0.6000 10.00 24 1.59
0.8000 7.50 24 0.90
1.0000 7.00 25 1.21
dp = -0.79
\label i=4 te=dp = -0.79 \3_
\xy-e
-1.0000 8.28 16 1.81
-0.8000 7.97 16 1.60
-0.6000 13.75 16 2.93
-0.4000 10.67 15 2.15
-0.2000 13.53 17 1.25
0.0000 17.66 16 2.39
0.2000 12.19 16 2.08
0.4000 5.47 16 0.86
0.6000 7.66 16 1.45
0.8000 7.97 16 1.30
1.0000 5.50 15 1.53
dp = 0.00
\label i=5 te=dp = 0.00 \4_
\xy-e
-1.0000 10.73 24 1.76
-0.8000 9.89 23 1.65
-0.6000 11.35 24 1.67
-0.4000 11.87 24 2.51
-0.2000 14.79 24 2.01
0.0000 9.64 49 1.17
0.2000 7.08 24 1.24
0.4000 6.09 23 1.03
0.6000 5.52 24 1.44
0.8000 4.20 25 0.67
1.0000 3.23 24 0.59
dp = 0.79
\label i=6 te=dp = 0.79 \5_
\xy-e
-1.0000 9.84 16 2.12
-0.8000 8.59 16 2.21
-0.6000 13.17 15 2.37
-0.4000 7.50 16 1.29
-0.2000 10.94 16 2.11
0.0000 11.72 16 1.61
0.2000 4.71 17 1.03
0.4000 5.47 16 1.74
0.6000 3.44 16 0.79
0.8000 2.81 16 0.91
1.0000 3.33 15 0.87
dp = 1.57
\label i=7 te=dp = 1.57 \6_
\xy-e
-1.0000 8.85 24 1.75
-0.8000 8.96 24 1.67
-0.6000 11.67 24 3.06
-0.4000 8.80 25 1.73
-0.2000 8.23 24 1.51
0.0000 6.63 23 1.21
0.2000 2.08 24 0.58
0.4000 2.60 24 0.55
0.6000 3.85 24 1.24
0.8000 4.27 24 0.84
1.0000 4.58 24 0.73
dp = 2.36
\label i=8 te=dp = 2.36 \7_
\xy-e
-1.0000 7.34 16 1.45
-0.8000 8.91 16 2.08
-0.6000 9.06 16 2.41
-0.4000 7.03 16 1.48
-0.2000 7.06 17 2.06
0.0000 3.28 16 0.96
0.2000 4.71 17 1.35
0.4000 5.00 16 1.69
0.6000 2.97 16 0.89
0.8000 6.56 16 1.93
1.0000 8.75 16 2.10
dp = 3.14
\label i=9 te=dp = 3.14 \8_
\xy-e
-1.0000 6.63 26 1.50
-0.8000 5.00 25 0.74
-0.6000 8.44 24 1.77
-0.4000 5.00 24 1.03
-0.2000 6.15 24 0.88
0.0000 4.58 24 1.44
0.2000 7.81 24 1.40
0.4000 10.76 23 3.24
0.6000 6.56 24 0.98
0.8000 6.77 24 1.14
1.0000 5.70 25 1.05
\yax 0 20
\xax -1.00 1.00
\label i=1 te=n=15 - 64 tf=10.00 sf=3 wi=14.98 hi=15.00 or=60.00 RandPhase co=1 t=0.40 nc=47.00  sM=0.00
