!f:$UNITGRAPHS/pddp.f
\Title ic061.0.nsines.PDDPg.trl 2353 to 2741 Binoc
#Preperiod 0.050, rate 3.53 +- 0.000  n = 368
\Xlabel Position Disp
dp = -2.36
\label i=2 te=dp = -2.36 \1_
\xy-e
-1.0000 11.00 5 2.18
-0.8000 10.62 4 2.58
-0.6000 5.62 4 1.20
-0.4000 14.38 4 2.58
-0.2000 3.75 4 1.61
0.0000 18.44 16 2.72
0.2000 12.50 4 3.68
0.4000 5.62 4 2.77
0.6000 4.38 4 2.95
0.8000 4.38 4 1.20
1.0000 1.88 4 1.88
dp = -1.57
\label i=3 te=dp = -1.57 \2_
\xy-e
-1.0000 11.88 4 4.26
-0.8000 2.50 4 1.02
-0.6000 10.00 4 5.30
-0.4000 8.75 4 4.84
-0.2000 8.12 4 2.95
0.0000 15.63 4 2.58
0.2000 13.75 4 3.89
0.4000 5.62 4 1.20
0.6000 16.88 4 6.49
0.8000 5.00 4 2.50
1.0000 11.88 4 3.44
dp = -0.79
\label i=4 te=dp = -0.79 \3_
\xy-e
-1.0000 8.12 4 2.77
-0.8000 6.88 4 1.88
-0.6000 8.12 4 3.12
-0.4000 8.75 4 4.39
-0.2000 16.25 4 4.27
0.0000 18.75 4 6.88
0.2000 16.88 4 5.14
0.4000 5.00 4 2.50
0.6000 6.88 4 2.95
0.8000 10.63 4 2.14
1.0000 6.67 3 3.00
dp = 0.00
\label i=5 te=dp = 0.00 \4_
\xy-e
-1.0000 17.50 4 2.50
-0.8000 11.88 4 6.24
-0.6000 20.00 4 5.30
-0.4000 9.37 4 4.00
-0.2000 23.12 4 4.93
0.0000 10.31 8 2.81
0.2000 10.00 4 1.02
0.4000 8.12 4 2.58
0.6000 3.75 4 2.39
0.8000 3.50 5 0.61
1.0000 3.75 4 0.72
dp = 0.79
\label i=6 te=dp = 0.79 \5_
\xy-e
-1.0000 13.12 4 4.61
-0.8000 16.25 4 5.99
-0.6000 15.00 4 5.30
-0.4000 8.12 4 2.77
-0.2000 10.63 4 4.25
0.0000 10.00 4 3.68
0.2000 4.38 4 2.77
0.4000 11.25 4 5.99
0.6000 2.50 4 1.02
0.8000 4.38 4 2.77
1.0000 1.67 3 0.83
dp = 1.57
\label i=7 te=dp = 1.57 \6_
\xy-e
-1.0000 11.88 4 3.44
-0.8000 5.00 4 2.70
-0.6000 16.25 4 4.62
-0.4000 17.50 4 7.84
-0.2000 13.75 4 6.50
0.0000 12.50 4 3.95
0.2000 3.75 4 1.61
0.4000 1.88 4 1.20
0.6000 1.25 4 0.72
0.8000 4.38 4 2.13
1.0000 4.38 4 1.20
dp = 2.36
\label i=8 te=dp = 2.36 \7_
\xy-e
-1.0000 7.50 4 3.23
-0.8000 15.00 4 3.23
-0.6000 11.25 4 7.25
-0.4000 6.25 4 3.75
-0.2000 11.25 4 7.94
0.0000 1.25 4 1.25
0.2000 2.50 4 1.02
0.4000 2.50 4 1.02
0.6000 1.88 4 0.62
0.8000 4.38 4 2.95
1.0000 3.13 4 2.37
dp = 3.14
\label i=9 te=dp = 3.14 \8_
\xy-e
-1.0000 13.75 4 8.07
-0.8000 6.88 4 2.58
-0.6000 8.12 4 1.20
-0.4000 4.38 4 2.14
-0.2000 6.25 4 1.61
0.0000 3.13 4 1.20
0.2000 15.00 4 6.69
0.4000 9.38 4 4.37
0.6000 6.88 4 1.88
0.8000 3.75 4 1.61
1.0000 5.63 4 0.63
\yax 0 30
\xax -1.00 1.00
\label i=1 te=n=3 - 16 tf=10.00 sf=3 wi=14.98 hi=15.00 or=60.00 RandPhase co=1 t=0.40 nc=47.00  sM=0.00
