!f:$UNITGRAPHS/xxyd.f
\Title ic061.0.rds.DXxDYa.trl 3438 to 3645 Binoc
#Preperiod 0.050, rate 3.80 +- 0.000  n = 200
\Xlabel Position Disp
dy = -0.6000
\label i=2 te=dy = -0.6000 \1_
\xy-e
-0.6000 5.50 5 1.66
-0.4000 6.25 4 1.61
-0.2000 6.87 4 2.58
0.0000 3.75 4 1.61
0.2000 4.38 4 2.77
0.4000 1.88 4 0.62
0.6000 2.50 4 1.77
dy = -0.4000
\label i=3 te=dy = -0.4000 \2_
\xy-e
-0.6000 7.50 4 1.02
-0.4000 6.88 4 1.20
-0.2000 5.83 3 0.83
0.0000 3.75 4 1.61
0.2000 1.87 4 1.20
0.4000 1.88 4 0.62
0.6000 2.50 4 0.00
dy = -0.2000
\label i=4 te=dy = -0.2000 \3_
\xy-e
-0.6000 8.75 4 4.15
-0.4000 8.75 4 1.25
-0.2000 8.75 4 2.98
0.0000 1.25 4 0.72
0.2000 2.50 4 1.02
0.4000 3.75 4 2.98
0.6000 1.25 4 1.25
dy = 0.0000
\label i=5 te=dy = 0.0000 \4_
\xy-e
-0.6000 11.88 4 3.12
-0.4000 25.00 4 6.85
-0.2000 19.38 4 7.53
0.0000 6.25 4 1.25
0.2000 0.62 4 0.62
0.4000 3.12 4 1.20
0.6000 5.62 4 2.58
dy = 0.2000
\label i=6 te=dy = 0.2000 \5_
\xy-e
-0.6000 10.00 4 1.77
-0.4000 15.62 4 2.58
-0.2000 8.75 4 4.62
0.0000 4.38 4 1.20
0.2000 2.50 4 1.77
0.4000 1.25 4 0.72
0.6000 3.75 4 1.61
dy = 0.4000
\label i=7 te=dy = 0.4000 \6_
\xy-e
-0.6000 5.00 4 1.77
-0.4000 7.50 4 2.28
-0.2000 7.50 4 2.50
0.0000 2.50 4 1.02
0.2000 4.38 4 1.57
0.4000 1.25 4 0.72
0.6000 1.25 4 0.72
dy = 0.6000
\label i=8 te=dy = 0.6000 \7_
\xy-e
-0.6000 3.75 4 0.72
-0.4000 2.50 4 1.02
-0.2000 5.63 4 2.13
0.0000 15.00 4 8.10
0.2000 2.50 4 1.77
0.4000 3.75 4 2.17
0.6000 3.75 4 1.61
\label i=9 te=Uncorrelated \8_
\xy-e
0.0000 3.13 4 0.63
\yax 0 30
\xax -0.60 0.60
\label i=1 te=n=3 - 5 Bd-0.20,co=1.00 dy=0.4000 wi=14.98 or=80.00sl=1
