!f:$UNITGRAPHS/xxyd.f
\Title ic061.0.rds.DXxDYb.trl 3646 to 4068 Binoc
#Preperiod 0.050, rate 6.49 +- 0.000  n = 404
\Xlabel Position Disp
dy = -0.6000
\label i=2 te=dy = -0.6000 \1_
\xy-e
-0.6000 6.94 9 2.46
-0.4000 6.88 8 2.20
-0.2000 8.89 9 2.77
0.0000 6.88 8 2.35
0.2000 6.25 8 2.59
0.4000 3.13 8 0.78
0.6000 4.06 8 1.94
dy = -0.4000
\label i=3 te=dy = -0.4000 \2_
\xy-e
-0.6000 11.25 8 3.37
-0.4000 17.50 8 4.06
-0.2000 11.88 8 4.00
0.0000 4.06 8 1.05
0.2000 2.50 8 1.16
0.4000 0.94 8 0.46
0.6000 1.67 9 0.93
dy = -0.2000
\label i=4 te=dy = -0.2000 \3_
\xy-e
-0.6000 10.62 8 2.10
-0.4000 16.94 9 3.90
-0.2000 11.25 8 1.83
0.0000 6.56 8 1.41
0.2000 2.19 8 0.74
0.4000 0.62 8 0.41
0.6000 1.79 7 1.05
dy = 0.0000
\label i=5 te=dy = 0.0000 \4_
\xy-e
-0.6000 18.75 8 3.10
-0.4000 26.57 8 4.30
-0.2000 22.22 9 1.35
0.0000 5.94 8 1.76
0.2000 0.94 8 0.66
0.4000 1.87 8 0.78
0.6000 1.25 8 0.67
dy = 0.2000
\label i=6 te=dy = 0.2000 \5_
\xy-e
-0.6000 12.81 8 2.19
-0.4000 15.00 8 2.67
-0.2000 8.44 8 2.21
0.0000 5.62 8 1.55
0.2000 1.56 8 0.94
0.4000 2.19 8 0.74
0.6000 1.25 8 0.67
dy = 0.4000
\label i=7 te=dy = 0.4000 \6_
\xy-e
-0.6000 10.31 8 3.25
-0.4000 4.38 8 1.40
-0.2000 6.25 8 1.06
0.0000 7.81 8 4.05
0.2000 3.44 8 1.33
0.4000 2.19 8 1.10
0.6000 1.56 8 0.66
dy = 0.6000
\label i=8 te=dy = 0.6000 \7_
\xy-e
-0.6000 5.31 8 2.73
-0.4000 6.88 8 1.40
-0.2000 8.75 8 2.83
0.0000 6.25 8 3.84
0.2000 2.19 8 0.57
0.4000 1.88 8 0.78
0.6000 1.87 8 0.62
\label i=9 te=Uncorrelated \8_
\xy-e
0.0000 10.62 8 3.23
\yax 0 30
\xax -0.60 0.60
\label i=1 te=n=7 - 9 Bd-0.20,co=1.00 dy=-0.2000 wi=14.98 or=80.00sl=1
