!f:$UNITGRAPHS/xo.f
\Title ic065.0_2.rds.OPd.trl 824 to 866 Binoc
#Preperiod 0.050, rate 0.50 +- 0.000  n = 40
none = 0
\label i=2 te=L 0.251627659574468 +- 0.131679866989948 R 0.251627659574468 +- 0.131679866989948
\xy-e
-11.9300 16.43 4 5.00
-9.9300 47.86 4 4.72
-7.9300 60.00 4 9.55
-5.9300 87.14 4 7.87
-3.9300 68.58 4 6.80
-1.9300 60.00 3 4.36
0.0700 4.29 4 1.43
2.0700 0.00 4 0.00
4.0700 0.00 5 0.00
\label i=3 te=Blank \2_
\xy-e--
-3.9300 0.00 4 0.00
\yax 0 90
\xax -11.93 4.07
\label i=1 te=n=3 - 5 NOBACK wi=0.98 or=100.00Ro=100sl=1
