!f:$UNITGRAPHS/pddp.f
\Title ic074.0.nsines.PDDPd.trl 1658 to 2063 Binoc
#Preperiod 0.050, rate 46.52 +- 1.414  n = 371
\Xlabel Position Disp
dp = -2.36
\label i=2 te=dp = -2.36 \1_
\xy-e
-0.7500 9.14 5 1.40
-0.6000 16.43 4 3.17
-0.4500 12.14 4 3.57
-0.3000 16.43 4 3.57
-0.1500 14.86 5 4.28
0.0000 14.29 4 2.33
0.1500 12.86 4 3.78
0.3000 7.62 3 0.95
0.4500 10.00 4 2.97
0.6000 15.71 4 2.47
0.7500 15.01 4 5.39
dp = -1.57
\label i=3 te=dp = -1.57 \2_
\xy-e
-0.7500 19.29 4 2.44
-0.6000 15.71 4 2.74
-0.4500 12.86 4 4.13
-0.3000 11.43 4 1.65
-0.1500 16.43 4 4.27
0.0000 14.29 4 3.69
0.1500 13.57 4 1.80
0.3000 18.57 4 3.60
0.4500 12.14 4 1.37
0.6000 15.71 4 5.41
0.7500 9.29 4 5.39
dp = -0.79
\label i=4 te=dp = -0.79 \3_
\xy-e
-0.7500 12.86 4 3.78
-0.6000 18.57 4 3.78
-0.4500 16.43 4 1.80
-0.3000 22.14 4 3.17
-0.1500 10.00 4 1.84
0.0000 9.29 4 2.95
0.1500 15.71 4 1.84
0.3000 12.86 4 2.97
0.4500 9.29 4 3.17
0.6000 15.00 4 1.80
0.7500 16.57 5 5.81
dp = 0.00
\label i=5 te=dp = 0.00 \4_
\xy-e
-0.7500 12.14 4 3.17
-0.6000 17.86 4 5.00
-0.4500 15.71 4 5.53
-0.3000 15.00 4 2.44
-0.1500 7.86 4 1.80
0.0000 7.43 5 3.08
0.1500 21.43 4 2.74
0.3000 8.57 4 2.02
0.4500 10.71 4 3.17
0.6000 14.28 4 3.09
0.7500 11.43 4 3.09
dp = 0.79
\label i=6 te=dp = 0.79 \5_
\xy-e
-0.7500 19.29 4 4.72
-0.6000 20.71 4 2.95
-0.4500 22.14 4 1.80
-0.3000 15.00 4 3.57
-0.1500 8.57 4 3.50
0.0000 5.71 4 2.02
0.1500 12.14 4 3.17
0.3000 6.43 4 1.80
0.4500 12.14 4 2.44
0.6000 18.57 4 3.40
0.7500 18.57 4 1.84
dp = 1.57
\label i=7 te=dp = 1.57 \6_
\xy-e
-0.7500 19.29 4 4.10
-0.6000 17.14 4 3.09
-0.4500 10.00 4 1.43
-0.3000 10.00 4 3.40
-0.1500 5.71 4 2.02
0.0000 10.00 4 2.97
0.1500 25.00 4 2.95
0.3000 10.71 4 3.93
0.4500 12.86 4 2.74
0.6000 15.71 4 2.47
0.7500 15.00 4 2.70
dp = 2.36
\label i=8 te=dp = 2.36 \7_
\xy-e
-0.7500 17.14 4 3.09
-0.6000 14.29 4 3.09
-0.4500 14.29 4 2.61
-0.3000 13.57 4 4.10
-0.1500 10.71 4 2.44
0.0000 5.00 4 2.14
0.1500 15.71 4 1.43
0.3000 10.00 4 1.84
0.4500 16.43 4 3.57
0.6000 18.57 4 2.97
0.7500 9.29 4 1.80
dp = 3.14
\label i=9 te=dp = 3.14 \8_
\xy-e
-0.7500 16.43 4 3.57
-0.6000 15.72 4 0.82
-0.4500 14.29 4 6.49
-0.3000 10.00 4 4.44
-0.1500 13.57 4 2.95
0.0000 13.57 4 2.95
0.1500 12.14 4 3.57
0.3000 18.57 4 1.43
0.4500 10.00 4 2.47
0.6000 17.86 4 5.39
0.7500 6.43 4 3.76
\label i=10 te=Left Monocular \9_
\xy-e
0.0000 18.57 4 5.77
\label i=11 te=Right Monocular \10_
\xy-e
0.0000 14.29 4 3.50
\label i=12 te=Uncorrelated \11_
\xy-e
0.0000 11.43 4 3.30
\label i=13 te=Blank \12_
\xy-e--
0.0000 35.72 4 3.78
\yax 0 40
\xax -0.75 0.75
\label i=1 te=n=3 - 5 tf=1.00 sf=3 wi=6.02 hi=6.00 or=-90.00  co=1 t=0.35 nc=47.00  sM=0.00
