!f:$UNITGRAPHS/yo.f
\Title ic085.0.rds.YPa.trl 210 to 260 Binoc FY 5.00
#Preperiod 0.050, rate 7.08 +- 0.000  n = 48
none = 0
\xy-e
-25.1300 32.00 5 4.08
-22.1300 34.29 4 2.02
-19.1300 42.15 4 3.17
-16.1300 36.43 4 2.44
-13.1300 45.71 4 5.47
-10.1300 62.85 4 4.81
-7.1300 81.43 4 6.65
-4.1300 68.57 3 8.57
-1.1300 20.71 4 3.57
1.8700 2.14 4 1.37
4.8700 1.43 4 0.82
\label i=2 te=Blank \2_
\xy-e--
-10.1300 2.14 4 1.37
\yax 0 90
\xax -25.13 4.87
\label i=1 te=n=3 - 5 NOBACK wi=3.00 or=180.00Ro=180sl=1
