!f:$UNITGRAPHS/xo.f
\Title ic144.0_3.rds.OPa.trl 346 to 389 Binoc
#Preperiod 0.050, rate 12.09 +- 1.000  n = 43
none = 0
\label i=2 te=L 0.445953571428571 +- 0.074845845732256 R 0.445953571428571 +- 0.074845845732256
\xy-e
1.8700 5.14 5 1.07
3.8700 9.14 5 1.07
5.8700 7.14 4 2.97
7.8700 24.57 5 2.80
9.8700 26.43 4 2.44
11.8700 29.52 3 6.25
13.8700 34.29 4 4.81
15.8700 25.00 4 2.70
17.8700 17.14 5 2.39
\label i=3 te=Blank \2_
\xy-e--
9.8700 2.14 4 1.37
\yax 0 40
\xax 1.87 17.87
\label i=1 te=n=3 - 5 NOBACK wi=2.01 or=-45.00Ro=-45sl=1
