!f:$UNITGRAPHS/yo.f
\Title ic156.0.rds.YP.trl 279 to 442 Binoc
#Preperiod 0.050, rate 1.71 +- 0.000  n = 82
none = 0
\xy-e
-15.1300 16.57 5 7.95
-12.1300 29.28 4 9.78
-12.0000 25.40 9 8.02
-9.1300 45.71 4 4.67
-9.0000 44.08 7 12.17
-6.1300 35.00 4 9.78
-6.0000 35.51 7 11.13
-3.1300 35.00 4 6.94
-3.0000 34.69 7 11.92
-0.1300 33.71 5 6.41
0.0000 27.86 8 8.51
2.8700 26.43 4 8.91
3.0000 26.67 6 9.92
5.8700 15.00 4 3.76
6.0000 10.95 6 3.72
8.8700 4.57 5 3.21
9.0000 0.00 9 0.00
12.0000 0.95 9 0.95
\label i=2 te=Blank \2_
\xy-e--
0.0000 14.45 17 5.48
\yax 0 50
\xax -15.13 12.00
\label i=1 te=n=4 - 17 NOBACK wi=3.01 or=0.00Ro=-135sl=1
