!f:$UNITGRAPHS/dxcylinder.f
\Title ic160.0.cylinder.DT.trl 257 to 421 Binoc FY 5.00
#Preperiod 0.050, rate 18.62 +- 1.414  n = 58
Delay = 0
\xy-e
-1.0003 21.50 2 3.50
-1.0001 25.90 10 3.19
-0.6000 21.05 7 3.26
-0.5000 19.58 15 1.50
-0.3000 17.66 12 1.66
-0.2000 25.26 8 3.42
-0.1000 20.57 11 2.47
0.1000 20.57 11 2.34
0.2000 17.76 8 3.00
0.3000 16.49 12 2.01
0.5000 15.70 12 1.71
0.6000 20.92 8 3.58
1.0001 16.73 9 1.61
\label i=2 te=Blank \2_
\xy-e--
0.0000 20.47 20 1.35
\yax 0 30
\xax -1.00 1.00
\label i=1 te=n=2 - 20 
